参数,来源,总样本数,训练样本数,测试样本数,特征列表,目标,输入层神经元数,隐藏层1神经元数,隐藏层2神经元数,输出层神经元数,隐藏层,算法,学习率,最大迭代次数,停止条件,训练集MSE,测试集MSE,测试集MAE,测试集R²,10折交叉验证R²,文献,模型,网络类型,时间序列类型,编码方式,训练方法,RMSE(杰宁),MAE(杰宁),nRMSE(杰宁),RMSE(安曼),MAE(安曼),nRMSE(安曼),系统参数_主反射镜数量,系统参数_主反射镜总面积,系统参数_接收器类型,优化算法_算法,优化算法_目标函数1,优化算法_目标函数2,优化算法_设计变量,优化算法_控制点数量,优化算法_约束条件,光线追迹_工具,光线追迹_光线数,光线追迹_DNI,光线追迹_太阳模型,光线追迹_斜率误差,光线追迹_主镜反射率,光线追迹_次级反射率,优化结果_AI-AD型 q_int,优化结果_AI-AD型 S_q'',优化结果_AI子弹型 q_int,优化结果_AI子弹型 S_q'',优化结果_解析设计 S_q'',计算资源_CPU,计算资源_内存,计算资源_耗时,回归模型,特征数,是否去除异常值,MAE(PCE),MSE(PCE),R²(PCE),MAE(η_opt),MSE(η_opt),R²(η_opt),数据集_来源,数据集_总样本数,数据集_输入特征(数值),数据集_可选额外特征,数据集_输出变量,聚类方法_K-Means K值,聚类与回归一致性_MAE(PCE),聚类与回归一致性_MAE(η_opt),材料,合成方法,平均尺寸,晶面间距,发光中心波长,半高宽,量子产率,尺寸,每个波长光子数,光传播模型,掺杂浓度范围,最佳掺杂浓度,未吸收光子比例,再发射损耗,光子逸出几率,平均集光效率,器件结构_基底,器件结构_ETL,器件结构_吸收层,器件结构_背接触,器件结构_HTL,模拟工具_软件,ETL材料,CBO (eV),PCE (%)_ETL筛选,光源1,光源2,ANN结构_输入层神经元数,ANN结构_隐藏层神经元数,ANN结构_输出层神经元数,激活函数_隐藏层,激活函数_输出层,训练算法_算法,训练参数_学习率,训练参数_数据划分,太阳光_MSE,太阳光_RMSE,太阳光_R²,LED_MSE,LED_RMSE,LED_R²,重要性_吸收层厚度,重要性_金属功函数,重要性_电子亲和能,重要性_缺陷密度,光源,吸收层厚度,缺陷密度,电子亲和能,背接触功函数,Voc,Jsc,FF,PCE
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,CNN,单变量,Sigma-Delta,SLAYER,60,28,0.056,24.1,14.7,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,MLP,多变量,Rate coding,Bootstrap,51.96,28,0.049,23.12,18,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,MLP,单变量,Rate coding,Bootstrap,63.62,36,0.06,30.83,17.7,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,CNN,多变量,Rate coding,Bootstrap,50.9,29,0.048,22.6,15,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,CNN,单变量,Rate coding,Bootstrap,65.32,30,0.057,31.75,17,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Garcia-Moreno 2024,,,,,,,,,,,,288,184.32 m²,双管吸收器+次级反射器,NSGA-II,最大化吸收功率(q_int),最小化辐射通量不均匀性(S_q''),"控制点极坐标(角度ψ,距离d)",6,q_int >= 0.9*q_an,Tonatiuh++,1e7,1000 W/m²,Buie CSR=2%,2 mrad (正态),92.4%,88.3%,381.73 W,7.6 W/m²,371.84 W,10.5 W/m²,15 W/m²,i7-1355U,32GB,120小时,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear Regression,6,否,1.21,2.03,0.19,4.11,32.5,-0.08,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear Regression,6,是,0.98,1.84,0.12,1.46,2.81,-0.02,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNN,6,否,1.05,2.23,0.11,2.38,12.45,0.58,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNN,6,是,0.72,1.13,0.46,1.12,2.12,0.23,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random Forest,6,否,0.94,1.66,0.34,4.2,32.08,-0.07,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random Forest,6,是,0.7,1.01,0.52,1.24,2.19,0.2,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gradient Boosting,6,否,1.08,2.45,0.02,3.43,22.79,0.24,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gradient Boosting,6,是,0.85,1.58,0.24,1.34,2.62,0.05,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGBoost,6,否,1.01,1.56,0.38,3.66,31.29,-0.04,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGBoost,6,是,0.8,1.3,0.38,1.47,2.94,-0.07,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ferreira 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figshare,236,Ap,量子产率,PCE,5,约6%,约7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,束俊鹏 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CsPbBr₃,热注入法,8.4 ± 2.8 nm,0.58 nm,512 nm,22 nm,76.8%,6.0 cm × 6.0 cm × 0.3 cm,1e5,Beer-Lambert定律,未明确,2.1e-5 mol/L,73.9%,13.1%,2.1%,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,SnO₂,+0.01,17.2,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,CdS,-0.17,18.09,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,GO,+0.15,17.17,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,TiO₂,-0.19,18.17,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,MZO,+0.01,17.34,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,WO₃,+0.21,17.2,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,,,,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,太阳光(AM1.5G),600 nm,1e13 cm⁻³,3.9 eV,5.5 eV (Ni),1.11 V,26.86 mA/cm²,82.26%,27.01%
,,,,,,,,,,,,,,,,,,,,,Arif 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FTO,TiO₂,Cs₂SnI₆,Ni,无,SCAPS-1D + ANN,,,,太阳光(AM1.5G),LED室内光,4,12,4,tansig,purelin,Levenberg-Marquardt,0.01,70%训练,8.127e-4,0.00944,0.968,3.6585e-4,0.00614,0.986,20.29%,16.87%,13.61%,9.14%,LED室内光,1100 nm,1e13 cm⁻³,3.7 eV,5.5 eV (Ni),1.00 V,2.01 mA/cm²,83.72%,38.75%
